,start_station,end_station,weight,start_name,start_lat,start_lon,end_name,end_lat,end_lon
61,24383,24381,98,CAU Sportstätten,54.343444,10.111139,Westring/Eckernförder Str.,54.328543,10.117925
62,24383,24399,64,CAU Sportstätten,54.343444,10.111139,Exerzierplatz,54.321583,10.128389
63,24383,24370,102,CAU Sportstätten,54.343444,10.111139,Alter Markt,54.322806,10.139472
64,24383,24391,94,CAU Sportstätten,54.343444,10.111139,Blücherplatz,54.341722,10.136861
65,24383,24382,104,CAU Sportstätten,54.343444,10.111139,Wilhelmplatz,54.323583,10.122278
66,24413,24371,126,Bernhard-Minetti-Platz,54.337864,10.133126,Anleger Reventlou,54.333833,10.15225
67,24413,24385,121,Bernhard-Minetti-Platz,54.337864,10.133126,Dreiecksplatz,54.328528,10.134417
68,24413,24412,99,Bernhard-Minetti-Platz,54.337864,10.133126,MELUND-Olympiahochhaus,54.35525,10.131611
69,24413,24376,120,Bernhard-Minetti-Platz,54.337864,10.133126,Kirchhofallee,54.316194,10.120583
70,24413,24397,170,Bernhard-Minetti-Platz,54.337864,10.133126,Hauptbahnhof,54.315972,10.132278
71,24413,24383,106,Bernhard-Minetti-Platz,54.337864,10.133126,CAU Sportstätten,54.343444,10.111139
72,24413,24381,116,Bernhard-Minetti-Platz,54.337864,10.133126,Westring/Eckernförder Str.,54.328543,10.117925
73,24413,24399,91,Bernhard-Minetti-Platz,54.337864,10.133126,Exerzierplatz,54.321583,10.128389
74,24413,24370,113,Bernhard-Minetti-Platz,54.337864,10.133126,Alter Markt,54.322806,10.139472
75,24413,24391,100,Bernhard-Minetti-Platz,54.337864,10.133126,Blücherplatz,54.341722,10.136861
76,24413,24382,128,Bernhard-Minetti-Platz,54.337864,10.133126,Wilhelmplatz,54.323583,10.122278
77,24381,24371,102,Westring/Eckernförder Str.,54.328543,10.117925,Anleger Reventlou,54.333833,10.15225
78,24381,24385,89,Westring/Eckernförder Str.,54.328543,10.117925,Dreiecksplatz,54.328528,10.134417
79,24381,24412,74,Westring/Eckernförder Str.,54.328543,10.117925,MELUND-Olympiahochhaus,54.35525,10.131611
80,24381,24376,103,Westring/Eckernförder Str.,54.328543,10.117925,Kirchhofallee,54.316194,10.120583
81,24381,24397,169,Westring/Eckernförder Str.,54.328543,10.117925,Hauptbahnhof,54.315972,10.132278
82,24381,24383,81,Westring/Eckernförder Str.,54.328543,10.117925,CAU Sportstätten,54.343444,10.111139
83,24381,24413,113,Westring/Eckernförder Str.,54.328543,10.117925,Bernhard-Minetti-Platz,54.337864,10.133126
84,24381,24399,71,Westring/Eckernförder Str.,54.328543,10.117925,Exerzierplatz,54.321583,10.128389
85,24381,24370,118,Westring/Eckernförder Str.,54.328543,10.117925,Alter Markt,54.322806,10.139472
86,24381,24391,106,Westring/Eckernförder Str.,54.328543,10.117925,Blücherplatz,54.341722,10.136861
87,24381,24382,100,Westring/Eckernförder Str.,54.328543,10.117925,Wilhelmplatz,54.323583,10.122278
88,24399,24371,82,Exerzierplatz,54.321583,10.128389,Anleger Reventlou,54.333833,10.15225
89,24399,24385,79,Exerzierplatz,54.321583,10.128389,Dreiecksplatz,54.328528,10.134417
90,24399,24412,62,Exerzierplatz,54.321583,10.128389,MELUND-Olympiahochhaus,54.35525,10.131611
91,24399,24376,83,Exerzierplatz,54.321583,10.128389,Kirchhofallee,54.316194,10.120583
92,24399,24397,139,Exerzierplatz,54.321583,10.128389,Hauptbahnhof,54.315972,10.132278
93,24399,24383,70,Exerzierplatz,54.321583,10.128389,CAU Sportstätten,54.343444,10.111139
94,24399,24413,105,Exerzierplatz,54.321583,10.128389,Bernhard-Minetti-Platz,54.337864,10.133126
95,24399,24381,72,Exerzierplatz,54.321583,10.128389,Westring/Eckernförder Str.,54.328543,10.117925
96,24399,24370,80,Exerzierplatz,54.321583,10.128389,Alter Markt,54.322806,10.139472
97,24399,24391,89,Exerzierplatz,54.321583,10.128389,Blücherplatz,54.341722,10.136861
98,24399,24382,83,Exerzierplatz,54.321583,10.128389,Wilhelmplatz,54.323583,10.122278
99,24370,24371,95,Alter Markt,54.322806,10.139472,Anleger Reventlou,54.333833,10.15225
100,24370,24385,99,Alter Markt,54.322806,10.139472,Dreiecksplatz,54.328528,10.134417
101,24370,24412,87,Alter Markt,54.322806,10.139472,MELUND-Olympiahochhaus,54.35525,10.131611
102,24370,24376,126,Alter Markt,54.322806,10.139472,Kirchhofallee,54.316194,10.120583
103,24370,24397,186,Alter Markt,54.322806,10.139472,Hauptbahnhof,54.315972,10.132278
104,24370,24383,79,Alter Markt,54.322806,10.139472,CAU Sportstätten,54.343444,10.111139
105,24370,24413,119,Alter Markt,54.322806,10.139472,Bernhard-Minetti-Platz,54.337864,10.133126
106,24370,24381,106,Alter Markt,54.322806,10.139472,Westring/Eckernförder Str.,54.328543,10.117925
107,24370,24399,82,Alter Markt,54.322806,10.139472,Exerzierplatz,54.321583,10.128389
108,24370,24391,103,Alter Markt,54.322806,10.139472,Blücherplatz,54.341722,10.136861
109,24370,24382,124,Alter Markt,54.322806,10.139472,Wilhelmplatz,54.323583,10.122278
110,24391,24371,114,Blücherplatz,54.341722,10.136861,Anleger Reventlou,54.333833,10.15225
111,24391,24385,108,Blücherplatz,54.341722,10.136861,Dreiecksplatz,54.328528,10.134417
112,24391,24412,74,Blücherplatz,54.341722,10.136861,MELUND-Olympiahochhaus,54.35525,10.131611
113,24391,24376,114,Blücherplatz,54.341722,10.136861,Kirchhofallee,54.316194,10.120583
114,24391,24397,181,Blücherplatz,54.341722,10.136861,Hauptbahnhof,54.315972,10.132278
115,24391,24383,100,Blücherplatz,54.341722,10.136861,CAU Sportstätten,54.343444,10.111139
116,24391,24413,106,Blücherplatz,54.341722,10.136861,Bernhard-Minetti-Platz,54.337864,10.133126
117,24391,24381,115,Blücherplatz,54.341722,10.136861,Westring/Eckernförder Str.,54.328543,10.117925
118,24391,24399,69,Blücherplatz,54.341722,10.136861,Exerzierplatz,54.321583,10.128389
119,24391,24370,101,Blücherplatz,54.341722,10.136861,Alter Markt,54.322806,10.139472
120,24391,24382,103,Blücherplatz,54.341722,10.136861,Wilhelmplatz,54.323583,10.122278
121,24382,24371,120,Wilhelmplatz,54.323583,10.122278,Anleger Reventlou,54.333833,10.15225
122,24382,24385,115,Wilhelmplatz,54.323583,10.122278,Dreiecksplatz,54.328528,10.134417
123,24382,24412,90,Wilhelmplatz,54.323583,10.122278,MELUND-Olympiahochhaus,54.35525,10.131611
124,24382,24376,114,Wilhelmplatz,54.323583,10.122278,Kirchhofallee,54.316194,10.120583
125,24382,24397,184,Wilhelmplatz,54.323583,10.122278,Hauptbahnhof,54.315972,10.132278
126,24382,24383,111,Wilhelmplatz,54.323583,10.122278,CAU Sportstätten,54.343444,10.111139
127,24382,24413,126,Wilhelmplatz,54.323583,10.122278,Bernhard-Minetti-Platz,54.337864,10.133126
128,24382,24381,96,Wilhelmplatz,54.323583,10.122278,Westring/Eckernförder Str.,54.328543,10.117925
129,24382,24399,86,Wilhelmplatz,54.323583,10.122278,Exerzierplatz,54.321583,10.128389
130,24382,24370,120,Wilhelmplatz,54.323583,10.122278,Alter Markt,54.322806,10.139472
131,24382,24391,111,Wilhelmplatz,54.323583,10.122278,Blücherplatz,54.341722,10.136861
