Station_ID,Hour,Used Bikes
Average,0,1.314221891288161
Average,1,1.240506329113924
Average,2,1.2911392405063291
Average,3,1.0826507818317201
Average,4,1.3358153387937455
Average,5,1.2137006701414743
Average,6,1.3909158600148919
Average,7,1.552494415487714
Average,8,1.5510052122114668
Average,9,1.5420699925539836
Average,10,1.6463142218912883
Average,11,1.7684288905435595
Average,12,1.8801191362620997
Average,13,1.8503350707371558
Average,14,1.9300074460163812
Average,15,2.086373790022338
Average,16,1.9650037230081907
Average,17,1.8525688756515264
Average,18,1.7066269545793
Average,19,1.5673864482501862
Average,20,1.518987341772152
Average,21,1.3775130305286671
Average,22,1.3283693224125093
Average,23,1.3090096798212956
Anleger Reventlou,0,1.1764705882352942
Anleger Reventlou,1,1.0
Anleger Reventlou,2,1.2941176470588236
Anleger Reventlou,3,1.0
Anleger Reventlou,4,1.2941176470588236
Anleger Reventlou,5,1.9411764705882353
Anleger Reventlou,6,3.176470588235294
Anleger Reventlou,7,4.117647058823529
Anleger Reventlou,8,2.0588235294117645
Anleger Reventlou,9,2.1176470588235294
Anleger Reventlou,10,2.764705882352941
Anleger Reventlou,11,3.9411764705882355
Anleger Reventlou,12,3.588235294117647
Anleger Reventlou,13,3.4705882352941178
Anleger Reventlou,14,4.823529411764706
Anleger Reventlou,15,5.0
Anleger Reventlou,16,4.411764705882353
Anleger Reventlou,17,3.1176470588235294
Anleger Reventlou,18,2.6470588235294117
Anleger Reventlou,19,1.5294117647058822
Anleger Reventlou,20,2.0588235294117645
Anleger Reventlou,21,1.1764705882352942
Anleger Reventlou,22,1.411764705882353
Anleger Reventlou,23,1.0588235294117647
CAU Universitätsbibliothek,0,1.0
CAU Universitätsbibliothek,1,0.9411764705882353
CAU Universitätsbibliothek,2,1.0
CAU Universitätsbibliothek,3,0.9411764705882353
CAU Universitätsbibliothek,4,1.0588235294117647
CAU Universitätsbibliothek,5,0.8823529411764706
CAU Universitätsbibliothek,6,1.1764705882352942
CAU Universitätsbibliothek,7,1.8235294117647058
CAU Universitätsbibliothek,8,2.5294117647058822
CAU Universitätsbibliothek,9,2.411764705882353
CAU Universitätsbibliothek,10,2.5294117647058822
CAU Universitätsbibliothek,11,2.0588235294117645
CAU Universitätsbibliothek,12,2.0588235294117645
CAU Universitätsbibliothek,13,2.588235294117647
CAU Universitätsbibliothek,14,3.0588235294117645
CAU Universitätsbibliothek,15,3.588235294117647
CAU Universitätsbibliothek,16,2.4705882352941178
CAU Universitätsbibliothek,17,1.588235294117647
CAU Universitätsbibliothek,18,1.2941176470588236
CAU Universitätsbibliothek,19,1.2352941176470589
CAU Universitätsbibliothek,20,1.2941176470588236
CAU Universitätsbibliothek,21,0.8823529411764706
CAU Universitätsbibliothek,22,0.9411764705882353
CAU Universitätsbibliothek,23,1.0588235294117647
Catharinenberg,0,0.17647058823529413
Catharinenberg,1,0.17647058823529413
Catharinenberg,2,0.23529411764705882
Catharinenberg,3,0.17647058823529413
Catharinenberg,4,0.17647058823529413
Catharinenberg,5,0.17647058823529413
Catharinenberg,6,0.17647058823529413
Catharinenberg,7,0.17647058823529413
Catharinenberg,8,0.17647058823529413
Catharinenberg,9,0.17647058823529413
Catharinenberg,10,0.29411764705882354
Catharinenberg,11,0.29411764705882354
Catharinenberg,12,0.17647058823529413
Catharinenberg,13,0.17647058823529413
Catharinenberg,14,0.17647058823529413
Catharinenberg,15,0.17647058823529413
Catharinenberg,16,0.17647058823529413
Catharinenberg,17,0.17647058823529413
Catharinenberg,18,0.17647058823529413
Catharinenberg,19,0.17647058823529413
Catharinenberg,20,0.17647058823529413
Catharinenberg,21,0.11764705882352941
Catharinenberg,22,0.11764705882352941
Catharinenberg,23,0.11764705882352941
Dreiecksplatz,0,1.9411764705882353
Dreiecksplatz,1,1.1764705882352942
