,Station_ID,Frequency_of_Usage,Avg_Number_of_Bikes,Avg_Usage_of_Station,Avg_Returning_Bike_of_Station,Avg_Renting_Bike_of_Station,name,lat,lon,Cluster
44,24405,0.0077419354838709,2.58551554256756,3.0,1.0,0.9375,Marine-Ehrenmal,54.411667,10.228306,2
45,24410,0.0008602150537634,0.7275696864111498,1.1875,0.0,0.0625,Bunsenstraße,54.27697,10.158649,2
46,24404,0.0019354838709677,10.802264808362368,1.3125,0.125,0.0,Bullbrücke,54.397583,10.233583,2
47,24414,0.0023655913978494,2.6150886476516684,1.5625,0.25,0.0625,Kuhlacker,54.285725,10.143565,2
48,24442,0.003010752688172,7.130246867818221,1.6875,0.3125,0.25,Rathaus Heikendorf,54.370727,10.205576,2
49,24440,0.004516129032258,6.270617679575186,2.1875,0.5,0.4375,Förde Sparkasse Teplitzer Allee,54.2920407,10.1872627,2
50,24448,0.0079569892473118,14.20498976234838,3.0,0.9375,0.9375,Bahnhof Russee,54.309867,10.06956,2
51,24449,0.0025806451612903,4.383138964693843,1.625,0.1875,0.4375,Bebelplatz,54.294629,10.185079,2
52,24469,0.0098924731182795,1.999188817292876,3.8125,1.4375,1.3125,Seefischmarkt,54.32842,10.17724,2
53,24368,0.0548387096774193,2.083129187481323,15.875,7.5,7.5625,Umsteiger,54.314861,10.131167,1
54,24393,0.0391397849462365,6.7784504520337565,11.625,5.5,5.75,Tilsiter Platz,54.32325,10.17025,1
55,24409,0.0047311827956989,2.4985836269049866,2.3125,0.5625,0.625,Braunstraße,54.280427,10.1456,2
56,24373,0.046021505376344,0.3520401601976859,14.25,5.8125,5.8125,Christian-Albrechts-Platz,54.339222,10.123222,1
57,24390,0.0479569892473118,2.0124396446620656,14.4375,6.8125,7.0,CITTI-PARK,54.311667,10.099722,1
58,24411,0.0025806451612903,2.9597375026874904,1.6875,0.125,0.4375,Grot Steenbusch,54.2832,10.130672,2
