,Station_ID,name,lat,lon,region_id,address,post_code
100,24377,Kronshagen Rathaus,54.332193,10.085277,866,,
101,24451,Bahnhof Preetz,54.233676,10.276218,866,,
102,24419,ADAC-Station,54.312104,10.110267,866,", ",
103,24403,Hafen Laboe,54.403583,10.219583,866,,
104,24369,Alte Mu/Brunswiker Str.,54.327583,10.1415,866,", ",
105,24433,Langebrückstraße / Commerzbank ,54.47254,9.8363,866,,
106,24374,Holsten-/Hafenstraße,54.321,10.135389,866,", ",
107,24481,Kieler Innovations- und Technologiezentrum,54.334639,10.119389,866,", ",
108,24450,Schulen am Langsee,54.307029,10.157109,866,,
109,24460,Bystedtredder,54.4814,9.82645,866,,
110,24379,RBZ Wirtschaft,54.340743,10.126604,866,", ",
111,24482,Markt Preetz,54.23567,10.28186,866,,
112,24471,Krausstraße,54.333677,10.122391,866,", ",
113,24372,Bahnhof Suchsdorf,54.349806,10.090778,866,,
114,24430,Fischerkoppel,54.47767,9.83707,866,,
115,24465,UKSH,54.329415,10.14013,866,", ",
116,24467,Zur Fähre,54.31617,10.1429,866,", ",
117,24396,Rathaus Waisenhofstraße,54.321722,10.132444,866,", ",
118,24457,Studiale,54.3378795,10.1244324,866,", ",
119,24416,Rungholtplatz,54.361297,10.076831,866,,
120,24402,Stadtteilzentrum Pries,54.395459,10.173146,866,,
