,Station_ID,Frequency_of_Usage,Avg_Number_of_Bikes,Avg_Usage_of_Station,Avg_Returning_Bike_of_Station,Avg Renting_Bike_of_Station,Total_numbers_of_Bikes,name
0,24371,0.14773333333333333,26.864423076923078,1.7147435897435896,0.4166666666666667,0.46794871794871795,1242,Anleger Reventlou
1,24464,0.015466666666666667,15.435363247863247,1.0769230769230769,0.028846153846153848,0.04487179487179487,1242,Brandenburger Platz
2,24384,0.072,1.2342948717948716,1.3365384615384615,0.14743589743589744,0.15384615384615385,1242,CAU Universitätsbibliothek
3,24424,0.022933333333333333,11.37275641025641,1.1185897435897436,0.05128205128205128,0.09615384615384616,1242,Grüner Kranz
4,24468,0.0037333333333333333,0.3536324786324786,1.0128205128205128,0.0,0.00641025641025641,1242,Catharinenberg
5,24385,0.1472,2.7595085470085476,1.7307692307692308,0.34935897435897434,0.34935897435897434,1242,Dreiecksplatz
6,24420,0.007466666666666667,0.1981837606837607,1.0384615384615385,0.016025641025641024,0.019230769230769232,1242,Kreishaus Rendsburg
7,26209,0.0037333333333333333,0.7628205128205128,1.016025641025641,0.009615384615384616,0.0,1242,Kanalfähre Holtenau
8,26224,0.011733333333333333,5.200320512820513,1.0480769230769231,0.028846153846153848,0.028846153846153848,1242,Kanalfähre Wik
9,26262,0.005333333333333333,9.614316239316238,1.0224358974358974,0.00641025641025641,0.01282051282051282,1242,Gemeindebücherei 
10,24412,0.096,23.981623931623936,1.4711538461538463,0.3525641025641026,0.25,1242,MELUND-Olympiahochhaus
11,24444,0.012266666666666667,0.860042735042735,1.0576923076923077,0.019230769230769232,0.02564102564102564,1242,Kührener Straße
12,24376,0.15146666666666667,4.4385683760683765,1.7596153846153846,0.4198717948717949,0.3782051282051282,1242,Kirchhofallee
13,24458,0.0112,11.74946581196581,1.0544871794871795,0.01282051282051282,0.028846153846153848,1242,Bahnhof Plön
14,24397,0.3248,28.570512820512796,2.573717948717949,1.0256410256410255,0.9423076923076923,1242,Hauptbahnhof
15,24383,0.12533333333333332,8.565170940170937,1.6025641025641026,0.3269230769230769,0.33653846153846156,1242,CAU Sportstätten
16,24387,0.005333333333333333,3.6378205128205128,1.0192307692307692,0.00641025641025641,0.009615384615384616,1242,Mönkeberg Anleger
17,24413,0.14506666666666668,2.6985042735042737,1.6794871794871795,0.3717948717948718,0.34935897435897434,1242,Bernhard-Minetti-Platz
18,24389,0.10186666666666666,1.2373931623931622,1.5096153846153846,0.23076923076923078,0.20512820512820512,1242,Hansastr./Gutenbergstr.
19,24356,0.0005333333333333334,0.0,1.0,0.0,0.0,1242,Hagen Bikes factory
20,24466,0.004266666666666667,0.6378205128205128,1.0128205128205128,0.00641025641025641,0.00641025641025641,1242,Sandkrug
21,24398,0.0496,6.884081196581194,1.2628205128205128,0.1762820512820513,0.15384615384615385,1242,Rathausplatz
22,24435,0.0048,0.03258547008547009,1.0224358974358974,0.009615384615384616,0.01282051282051282,1242,Wulfsteert
23,24380,0.08053333333333333,4.122809829059829,1.419871794871795,0.20192307692307693,0.19230769230769232,1242,Vinetaplatz
24,24401,0.009066666666666667,24.365918803418808,1.0416666666666667,0.02564102564102564,0.022435897435897436,1242,Dataport/FHVD
25,24454,0.0064,0.2657051282051282,1.0224358974358974,0.00641025641025641,0.01282051282051282,1242,Freilichtmuseum Molfsee
26,24434,0.004266666666666667,11.854166666666666,1.0192307692307692,0.009615384615384616,0.003205128205128205,1242,Parkplatz Südstrand
27,24375,0.10133333333333333,5.4752136752136735,1.4871794871794872,0.266025641025641,0.25961538461538464,1242,Hörnbad
28,24480,0.018666666666666668,1.0961538461538463,1.0897435897435896,0.035256410256410256,0.035256410256410256,1242,KielRegion GmbH
29,24427,0.0432,4.738247863247863,1.2147435897435896,0.10576923076923077,0.09615384615384616,1242,Bahnhof Eckernförde
30,24381,0.12533333333333332,1.889690170940171,1.625,0.25961538461538464,0.28525641025641024,1242,Westring/Eckernförder Str.
31,24436,0.0832,5.569551282051282,1.4166666666666667,0.22115384615384615,0.23397435897435898,1242,Förde Sparkasse Lorentzendamm
32,24476,0.010666666666666666,3.875,1.0512820512820513,0.02564102564102564,0.022435897435897436,1242,Kurt-Schumacher-Platz
33,24399,0.12,3.013995726495727,1.5769230769230769,0.2916666666666667,0.3076923076923077,1242,Exerzierplatz
34,24447,0.0176,5.31025641025641,1.080128205128205,0.028846153846153848,0.03205128205128205,1242,Bahnhalt Ellerbek
35,24400,0.005333333333333333,0.40566239316239316,1.0256410256410255,0.009615384615384616,0.01282051282051282,1242,Anleger Friedrichsort
36,24378,0.06453333333333333,1.186217948717949,1.314102564102564,0.16346153846153846,0.16666666666666666,1242,Muthesius Kunsthochschule
37,24370,0.12693333333333334,18.701495726495725,1.5993589743589745,0.391025641025641,0.4326923076923077,1242,Alter Markt
38,24407,0.005866666666666667,1.3643162393162394,1.0224358974358974,0.003205128205128205,0.022435897435897436,1242,Rathaus Altenholz
39,24394,0.0176,3.8174145299145303,1.0865384615384615,0.035256410256410256,0.035256410256410256,1242,KiTa Fußsteigkoppel
40,24453,0.0112,0.8039529914529915,1.060897435897436,0.022435897435897436,0.022435897435897436,1242,Kronshagen Bahnhof
41,24392,0.06346666666666667,11.292948717948715,1.2884615384615385,0.125,0.16346153846153846,1242,Andreas-Gayk-Straße
42,24391,0.14133333333333334,3.730876068376069,1.6987179487179487,0.32051282051282054,0.34615384615384615,1242,Blücherplatz
43,24477,0.06826666666666667,12.161217948717947,1.330128205128205,0.1891025641025641,0.15384615384615385,1242,Provinzial Sophienblatt
