,Station_ID,Frequency_of_Usage,Avg_Number_of_Bikes,Avg_Usage_of_Station,Avg_Returning_Bike_of_Station,Avg Renting_Bike_of_Station,name,lat,lon,Cluster
0,24371,0.1477333333333333,26.86442307692308,1.7147435897435896,0.4166666666666667,0.4679487179487179,Anleger Reventlou,54.333833,10.15225,1
2,24384,0.072,1.2342948717948716,1.3365384615384617,0.1474358974358974,0.1538461538461538,CAU Universitätsbibliothek,54.346612,10.112408,0
4,24468,0.0037333333333333,0.3536324786324786,1.0128205128205128,0.0,0.0064102564102564,Catharinenberg,54.2644031,10.0656004,0
5,24385,0.1472,2.759508547008548,1.7307692307692308,0.3493589743589743,0.3493589743589743,Dreiecksplatz,54.328528,10.134417,0
7,26209,0.0037333333333333,0.7628205128205128,1.016025641025641,0.0096153846153846,0.0,Kanalfähre Holtenau,54.3687939,10.1339529,0
8,26224,0.0117333333333333,5.200320512820513,1.0480769230769231,0.0288461538461538,0.0288461538461538,Kanalfähre Wik,54.3655361,10.1316536,0
9,26262,0.0053333333333333,9.614316239316238,1.0224358974358974,0.0064102564102564,0.0128205128205128,Gemeindebücherei ,54.3349974,10.2175929,2
10,24412,0.096,23.981623931623936,1.4711538461538465,0.3525641025641026,0.25,MELUND-Olympiahochhaus,54.35525,10.131611,1
12,24376,0.1514666666666666,4.4385683760683765,1.7596153846153846,0.4198717948717949,0.3782051282051282,Kirchhofallee,54.316194,10.120583,0
14,24397,0.3248,28.5705128205128,2.573717948717949,1.0256410256410255,0.9423076923076924,Hauptbahnhof,54.315972,10.132278,1
15,24383,0.1253333333333333,8.565170940170937,1.6025641025641026,0.3269230769230769,0.3365384615384615,CAU Sportstätten,54.343444,10.111139,2
16,24387,0.0053333333333333,3.6378205128205128,1.0192307692307692,0.0064102564102564,0.0096153846153846,Mönkeberg Anleger,54.351528,10.178583,0
17,24413,0.1450666666666666,2.6985042735042737,1.6794871794871795,0.3717948717948718,0.3493589743589743,Bernhard-Minetti-Platz,54.337864,10.133126,0
18,24389,0.1018666666666666,1.2373931623931622,1.5096153846153846,0.2307692307692307,0.2051282051282051,Hansastr./Gutenbergstr.,54.332111,10.124861,0
20,24466,0.0042666666666666,0.6378205128205128,1.0128205128205128,0.0064102564102564,0.0064102564102564,Sandkrug,54.31634,10.14607,0
21,24398,0.0496,6.884081196581194,1.2628205128205128,0.1762820512820513,0.1538461538461538,Rathausplatz,54.322361,10.133861,2
23,24380,0.0805333333333333,4.122809829059829,1.419871794871795,0.2019230769230769,0.1923076923076923,Vinetaplatz,54.311417,10.146972,0
24,24401,0.0090666666666666,24.365918803418808,1.0416666666666667,0.0256410256410256,0.0224358974358974,Dataport/FHVD,54.401894,10.129012,1
25,24454,0.0064,0.2657051282051282,1.0224358974358974,0.0064102564102564,0.0128205128205128,Freilichtmuseum Molfsee,54.274827,10.074943,0
27,24375,0.1013333333333333,5.4752136752136735,1.4871794871794872,0.266025641025641,0.2596153846153846,Hörnbad,54.308643,10.135253,0
28,24480,0.0186666666666666,1.0961538461538465,1.0897435897435896,0.0352564102564102,0.0352564102564102,KielRegion GmbH,54.3438625,10.1226193,0
30,24381,0.1253333333333333,1.889690170940171,1.625,0.2596153846153846,0.2852564102564102,Westring/Eckernförder Str.,54.328543,10.117925,0
31,24436,0.0832,5.569551282051282,1.4166666666666667,0.2211538461538461,0.2339743589743589,Förde Sparkasse Lorentzendamm,54.3259625,10.1343185,0
32,24476,0.0106666666666666,3.875,1.051282051282051,0.0256410256410256,0.0224358974358974,Kurt-Schumacher-Platz,54.322329,10.053624,0
33,24399,0.12,3.013995726495727,1.5769230769230769,0.2916666666666667,0.3076923076923077,Exerzierplatz,54.321583,10.128389,0
34,24447,0.0176,5.31025641025641,1.080128205128205,0.0288461538461538,0.032051282051282,Bahnhalt Ellerbek,54.313927,10.169784,0
35,24400,0.0053333333333333,0.4056623931623931,1.0256410256410255,0.0096153846153846,0.0128205128205128,Anleger Friedrichsort,54.390373,10.177173,0
36,24378,0.0645333333333333,1.186217948717949,1.314102564102564,0.1634615384615384,0.1666666666666666,Muthesius Kunsthochschule,54.327389,10.128333,0
37,24370,0.1269333333333333,18.701495726495725,1.5993589743589745,0.391025641025641,0.4326923076923077,Alter Markt,54.322806,10.139472,1
38,24407,0.0058666666666666,1.3643162393162394,1.0224358974358974,0.0032051282051282,0.0224358974358974,Rathaus Altenholz,54.386203,10.136875,0
39,24394,0.0176,3.8174145299145295,1.0865384615384617,0.0352564102564102,0.0352564102564102,KiTa Fußsteigkoppel,54.342126,10.090524,0
40,24453,0.0112,0.8039529914529915,1.060897435897436,0.0224358974358974,0.0224358974358974,Kronshagen Bahnhof,54.331388,10.083113,0
41,24392,0.0634666666666666,11.292948717948716,1.2884615384615383,0.125,0.1634615384615384,Andreas-Gayk-Straße,54.3181986,10.1340683,2
42,24391,0.1413333333333333,3.730876068376069,1.698717948717949,0.3205128205128205,0.3461538461538461,Blücherplatz,54.341722,10.136861,0
43,24477,0.0682666666666666,12.161217948717947,1.330128205128205,0.1891025641025641,0.1538461538461538,Provinzial Sophienblatt,54.3124959,10.1288366,2
44,24415,0.0432,4.390598290598292,1.185897435897436,0.1089743589743589,0.0801282051282051,KVG Betriebshof Diedrichstraße,54.302799,10.136963,0
45,24395,0.0352,10.23568376068376,1.1602564102564104,0.1282051282051282,0.0737179487179487,Wellingdorf Stadtteilzentrum,54.326139,10.183028,2
47,24406,0.016,3.8536324786324783,1.0705128205128205,0.032051282051282,0.0192307692307692,Bahnhof Oppendorf,54.326055,10.207911,0
48,24408,0.0885333333333333,8.503525641025643,1.4294871794871795,0.1923076923076923,0.2019230769230769,thyssenkrupp Marine Systems,54.316436,10.15131,2
49,24474,0.0117333333333333,2.5763888888888893,1.044871794871795,0.0192307692307692,0.0064102564102564,Russeer Weg / Hofholzallee,54.317015,10.066768,0
50,24382,0.1392,2.86068376068376,1.689102564102564,0.3237179487179487,0.2916666666666667,Wilhelmplatz,54.323583,10.122278,0
51,24367,0.0309333333333333,6.187393162393164,1.1378205128205128,0.048076923076923,0.0833333333333333,Anleger Dietrichsdorf,54.329611,10.178556,2
53,24473,0.0037333333333333,8.87232905982906,1.0128205128205128,0.0064102564102564,0.0032051282051282,Aalborgring,54.316404,10.048583,2
55,24386,0.0026666666666666,1.7777777777777777,1.0128205128205128,0.0064102564102564,0.0,Fähranleger Möltenort,54.37575,10.194806,0
56,24388,0.0058666666666666,7.011752136752136,1.0288461538461535,0.0128205128205128,0.0032051282051282,Schönkirchen Gemeindehaus,54.339056,10.223028,2
57,24405,0.0037333333333333,1.9102564102564104,1.0128205128205128,0.0128205128205128,0.0096153846153846,Marine-Ehrenmal,54.411667,10.228306,0
58,24410,0.0010666666666666,1.0,1.0032051282051282,0.0,0.0,Bunsenstraße,54.27697,10.158649,0
59,24404,0.0016,10.4375,1.0064102564102564,0.0032051282051282,0.0,Bullbrücke,54.397583,10.233583,2
